,Año,Actividad,Capital Federal,Gran Buenos Aires,Resto Bs As,Catamarca,Cordoba,Corrientes,Chaco,Chubut,Entre Rios,Formosa,Jujuy,La Pampa,La Rioja,Mendoza,Misiones,Neuquen,Rio Negro,Salta,San Juan,San Luis,Santa Cruz,Santa Fe,Santiago del Estero,Tierra del Fuego,Tucuman
3193,2021-04-01,"Hortalizas, leg., flores y plantas ornam.","1,882,057","372,231","2,974,912","273,030","2,526,037","29,388","13,828","1,726","52,023","7,026","176,407","18,792","10,617","476,420","5,405","6,989","36,329","1,607,542","586,489",105,-,"855,260","7,761",55,"247,176"
3194,2021-04-01,Frutas -exc. vid para vinificar- y nueces,"2,271,579","232,100","126,397","4,992","214,495","53,557","45,196","99,573","387,005",473,"15,364",47,"103,275","624,245","5,840","224,992","1,324,340","1,432,802","68,970",468,"3,925","34,054","2,393",397,"3,625,940"
3195,2021-04-01,Cultivos industriales (9),"19,084,696","211,776","7,429,795","9,345","7,954,762","338,445","1,522,882","37,237","1,454,669","13,729","1,111,573","1,443,697","797,805","2,944,417","532,839","12,200","81,079","1,026,223","544,433","75,982","15,603","3,774,098","253,165","1,879","1,221,881"
3196,2021-04-01,Plantas para la obtención de fibras,"566,541","21,773","2,513",-,"1,426,135",956,"1,200,399",59,906,"1,545",-,-,-,"1,515","1,067","1,341",326,142,552,182,124,"20,540","69,995","1,273",518
3197,2021-04-01,Plantas sacaríferas,"270,009","10,549","1,244",21,298,79,763,-,26,-,"357,277",-,15,528,149,26,-,"90,945",412,-,-,"16,340",444,-,"702,102"
3198,2021-04-01,Vid para vinificar,"2,649,660","4,844","1,802","1,529","3,988",-,-,-,"1,831",-,1,-,"333,351","2,750,814",-,"7,927","23,198","51,000","535,367",272,84,"4,386",145,-,"2,922"
3199,2021-04-01,Plantas para preparar bebidas,"163,293",390,296,142,"21,885","3,731",-,-,122,-,-,-,-,-,"389,502",-,-,-,-,-,-,"1,267",-,-,-
3200,2021-04-01,Tabaco,"238,268","58,994","2,016",415,697,"3,552",256,96,"1,162",-,"737,967",-,246,266,"19,553",-,2,"324,822",110,-,-,"1,850",-,-,"8,450"
3201,2021-04-01,Especias y plantas arom. y medicinales,"3,405","12,775","88,302",21,"4,757",74,33,-,626,-,309,-,248,22,"8,987",73,285,631,-,-,-,"3,194",1,-,21
3202,2021-04-01,Otros cultivos industriales,"15,193,519","102,451","7,333,622","7,217","6,497,000","330,052","321,430","37,081","1,449,997","12,184","16,020","1,443,697","463,944","191,272","113,581","2,834","57,268","558,683","7,993","75,527","15,395","3,726,523","182,579",606,"507,867"
